"","id","Longitude","Latitude","JLSA","A1","A3","A9","A10","B3","B4","C1","C2","C7","D2","D5","D6","F3","F5","G2","I14","I22","I23","I24","I25","H6","H8"
"129",56248,0,0,"Escuinapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",56279,0,0,"Escuinapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",56282,-105.769397,22.581697,"Escuinapa","0","0","Entierro sin tratar","Entierro sin tratar","0","0","Si","0","ninguno","0","Si","ImportaciÌ_n de reproductores; Siembra de organismos silvestres","12","40","18","0","0","0","Si","Si","Si","Si"
"132",56282,0,0,"Escuinapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",56441,0,0,"Eldorado",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",56463,0,0,"Eldorado","0","0","Incineraci—n","Incineraci—n","Si","0","0","Si","ninguno","0","0",NA,"1","6","5","0","0",NA,"Si","0","Si","Si"
"135",56594,0,25.316667,"Guasave Norte","Si","Si","Incineraci—n","Incineraci—n","Si","Si","Si","Si",NA,"Si","Si",NA,NA,NA,NA,"Si","Si","Si","Si","Si","Si","Si"
"136",56602,-105.837561,22.829167,"Escuinapa","0","0","Entierro sin tratar","Incineraci—n","Si","Si","0","Si","ninguno","0","Si","Siembra de organismos silvestres","4","7","15","0","0","0","0","0","Si","Si"
"137",56602,0,0,"Escuinapa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",56637,0,0,"Rosario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",56649,0,0,"Navolato Norte",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",56653,0,0,"Rosario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",56684,-105.994864,22.900022,"Rosario","0","0","Entierro con cal y tierra","Incineraci—n","0","Si","0","Si","ninguno","0","Si","Siembra de organismos silvestres","16","70","25","0","0","0","0","0","0","Si"
"142",56684,0,0,"Rosario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",56698,-106.062464,22.8822,"Rosario","0","0","Entierro con cal y tierra","Incineraci—n","Si","Si","0","0","ninguno","0","Si","Siembra de organismos silvestres","3","10","15","0","0","0","0","0","0","Si"
"144",56714,0,0,"Rosario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
